DATE,DDOE01TNA086NWDB
1996-01-01,66.5832
1997-01-01,69.2046
1998-01-01,71.1111
1999-01-01,73.1605
2000-01-01,74.8287
2001-01-01,77.1024
2002-01-01,78.3603
2003-01-01,81.8381
2004-01-01,82.8
2005-01-01,85.6987
2006-01-01,87.9673
2007-01-01,91.3928
2008-01-01,95.4082
2009-01-01,98.51899999999999
2010-01-01,101.803
2011-01-01,105.17200000000001
2012-01-01,110.823
2013-01-01,116.61399999999999
2014-01-01,121.795
2015-01-01,126.447
2016-01-01,131.779
2017-01-01,139.888
